Case_ID,Investor_Narrative,Evidence_Span,Author_Portfolio,Author_Escalation,Consensus_Risk_Tolerance,Consensus_Risk_Capacity,Consensus_Liquidity_Need,Consensus_Suitability_Risk,Consensus_Portfolio,Consensus_Escalation,Agree_Count,Disagree_Count,Unsure_Count,Review_Flag
ILS-001,"I am 64 and I am describing my investment situation for an automated advisory service. I am trying to grow funds for a future home purchase. I have several fixed expenses and only a small emergency reserve, and this money may be needed for rent and family expenses very soon. I want the most aggressive portfolio available because I need high returns quickly. A major loss would create serious stress for my household. I need advice because my desire for high return may not match my ability to absorb losses.",I have several fixed expenses and only a small emergency reserve; This money may be needed for rent and family expenses very soon; I want the most aggressive portfolio available because I need high returns quickly; A major loss would create serious stress for my household.,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-002,"I am 55 and I am describing my investment situation for an automated advisory service. I hope to grow capital that could later support a business idea. My income is irregular and my emergency fund is small. I want some flexibility in case a family expense appears within the next four years. I think recent gains prove I should take more risk now. I am asking for a recommendation, but I may be putting too much weight on recent market excitement.",My income is irregular and my emergency fund is small; I want some flexibility in case a family expense appears within the next four years; I think recent gains prove I should take more risk now,Human review,Yes,High,Low,Moderate,High,Human review,Yes,4,0,0,No
ILS-003,"I am 60 and I am describing my investment situation for an automated advisory service. I am trying to grow funds for a future home purchase. I still carry high-interest debt and have limited savings, and I need access to cash this year for medical expenses. I would like to take a lot of risk so the account can grow fast. At the same time, I cannot tolerate losing much of this money. I need advice because my desire for high return may not match my ability to absorb losses.","I still carry high-interest debt and have limited savings; I need access to cash this year for medical expenses; I would like to take a lot of risk so the account can grow fast; At the same time, I cannot tolerate losing much of this money.",Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-004,"I am 51 and I am describing my investment situation for an automated advisory service. My goal is to grow my savings quickly. My income is irregular and my emergency fund is small, and I may need to withdraw most of this account within the next nine months. I feel behind financially and want the portfolio to recover the gap as quickly as possible. A major loss would create serious stress for my household. I need advice because my desire for high return may not match my ability to absorb losses.",My income is irregular and my emergency fund is small; I may need to withdraw most of this account within the next nine months; I feel behind financially and want the portfolio to recover the gap as quickly as possible; A major loss would create serious stress for my household.,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-005,"I am 68 and would like investment advice that reflects my goals and constraints. I am investing mainly for retirement more than fifteen years away. I have a secure full-time job, and I have no high-interest debt and a separate emergency fund. I can leave the funds invested for a long period. I can accept some ups and downs but not extreme losses, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","I am investing mainly for retirement more than fifteen years away.; I have a secure full-time job, and I have no high-interest debt and a separate emergency fund; I can leave the funds invested for a long period; I can accept some ups and downs but not extreme losses",Growth,No,Moderate,High,Low,Low,Growth,No,2,0,2,Yes
ILS-006,"I am 31 and would like investment advice that reflects my goals and constraints. The main goal is a home down payment. I want to keep access to the funds because a major expense is likely soon. My income is irregular and my emergency fund is small. I get anxious during market declines. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.",The main goal is a home down payment.; I want to keep access to the funds because a major expense is likely soon; My income is irregular and my emergency fund is small,Human review,Yes,Low,Low,High,High,Human review,Yes,4,0,0,No
ILS-007,"My situation is as follows: I am 28 and I want a portfolio recommendation based on my circumstances. I am saving for retirement and do not expect withdrawals for many years. My income is predictable, and this investment account is separate from my living expenses. This money is for long-term goals and I can leave it invested through market cycles. I can tolerate normal market fluctuations, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","I am saving for retirement and do not expect withdrawals for many years.; My income is predictable, and this investment account is separate from my living expenses; This money is for long-term goals and I can leave it invested through market cycles; I can tolerate normal market fluctuations",Growth,No,Moderate,High,Low,Low,Growth,No,3,0,1,No
ILS-008,"As a 46-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I have two goals at the same time: medical costs soon and retirement later. I need access to cash this year for medical expenses. I have some family expenses, but also a modest emergency fund. I can tolerate normal market fluctuations, but I am unsure whether one portfolio can serve both the short-term and long-term goals.","Medical costs soon and retirement later; I need access to cash this year for medical expenses; I have some family expenses, but also a modest emergency fund",Human review,Yes,Inconsistent,Moderate,Urgent,High,Human review,Yes,4,0,0,No
ILS-009,"As a 31-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I want general wealth growth but do not want a very aggressive strategy. I have a secure full-time job, although I have a stable job, but my cash buffer is only moderate. I have no planned withdrawals from this account in the near future. I prefer a balanced approach rather than the highest possible return, so I would prefer a portfolio that balances growth and stability.",I want general wealth growth but do not want a very aggressive strategy.; I have no planned withdrawals from this account in the near future; I prefer a balanced approach rather than the highest possible return,Growth,No,Moderate,Moderate,Low,Low,Balanced,No,1,2,1,Yes
ILS-010,"I am 55 and would like investment advice that reflects my goals and constraints. This account is for retirement rather than short-term spending. My income is predictable, and I have a strong cash buffer and no major short-term debts. I will not need this account for everyday expenses. I am comfortable with large short-term swings, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","This account is for retirement rather than short-term spending.; My income is predictable, and I have a strong cash buffer and no major short-term debts; I will not need this account for everyday expenses; I am comfortable with large short-term swings",Aggressive growth,No,High,High,Low,Low,Aggressive growth,No,3,0,1,No
ILS-011,"My situation is as follows: I am 31 and I want a portfolio recommendation based on my circumstances. The main goal is a business deposit. I have a tax payment due soon and may need to use these funds. I have several fixed expenses and only a small emergency reserve. I do not sleep well when investments lose value. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.",The main goal is a business deposit.; I have a tax payment due soon and may need to use these funds; I have several fixed expenses and only a small emergency reserve,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-012,"As a 60-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I am dealing with a medical issue that could create large bills. I recently changed jobs and do not have much cash set aside, and I may need to withdraw most of this account within the next nine months. I am afraid of making a mistake because the money is important for my family. I should probably not rely only on an automated recommendation unless the case is reviewed carefully.",I am dealing with a medical issue that could create large bills; I may need to withdraw most of this account within the next nine months; I am afraid of making a mistake because the money is important for my family,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-013,"I am 38 and would like investment advice that reflects my goals and constraints. I support family members and my income can change month to month. My income is irregular and my emergency fund is small, and I need access to cash this year for medical expenses. I get anxious during market declines. I should probably not rely only on an automated recommendation unless the case is reviewed carefully.",I support family members and my income can change month to month; I need access to cash this year for medical expenses; I get anxious during market declines,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-014,"As a 31-year-old retail investor, I want the system to understand my situation before recommending a portfolio. This account is for retirement rather than short-term spending. I have a secure full-time job, and this investment account is separate from my living expenses. I will not need this account for everyday expenses. I do not panic when markets move sharply, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","This account is for retirement rather than short-term spending.; I have a secure full-time job, and this investment account is separate from my living expenses; I will not need this account for everyday expenses; I do not panic when markets move sharply",Aggressive growth,No,High,High,Low,Low,Aggressive growth,No,3,0,1,No
ILS-015,"My situation is as follows: I am 51 and I want a portfolio recommendation based on my circumstances. My main goal is saving for education expenses. I have a stable job, but my cash buffer is only moderate. I could withdraw a small portion in the medium term. I became frightened by volatility and stopped investing for a while. I want a portfolio that helps me avoid another emotional mistake.",I became frightened by volatility and stopped investing for a while; I want a portfolio that helps me avoid another emotional mistake.,Conservative,No,Inconsistent,Moderate,Moderate,Medium,Conservative,No,2,2,0,No
ILS-016,"As a 68-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I am dealing with a medical issue that could create large bills. My income is irregular and my emergency fund is small, and I have a tax payment due soon and may need to use these funds. I would rather earn less than see big swings. I should probably not rely only on an automated recommendation unless the case is reviewed carefully.",I am dealing with a medical issue that could create large bills; I have a tax payment due soon and may need to use these funds; I would rather earn less than see big swings,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-017,"I am 55 and would like investment advice that reflects my goals and constraints. I have two goals at the same time: tuition soon and retirement later. I may need to withdraw most of this account within the next nine months. I have several fixed expenses and only a small emergency reserve. I am comfortable with large short-term swings, but I am unsure whether one portfolio can serve both the short-term and long-term goals.",Tuition soon and retirement later; I may need to withdraw most of this account within the next nine months; I have several fixed expenses and only a small emergency reserve,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-018,"I am 34 and I am describing my investment situation for an automated advisory service. I may use some of the funds to reduce debt if rates stay high. I have some family expenses, but also a modest emergency fund. I am considering a home down payment within the next two years. I get anxious during market declines. I would accept lower returns if that reduces the chance of a meaningful loss.",I may use some of the funds to reduce debt if rates stay high.; I am considering a home down payment within the next two years; I get anxious during market declines,Capital preservation,No,Low,Moderate,High,Medium,Capital preservation,No,4,0,0,No
ILS-019,"As a 60-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I want to build wealth faster than I have so far. My emergency savings are already funded and this money is not needed for bills. I can leave the funds invested for a long period. I think recent gains prove I should take more risk now. I am asking for a recommendation, but I may be putting too much weight on recent market excitement.",My emergency savings are already funded and this money is not needed for bills; I can leave the funds invested for a long period; I think recent gains prove I should take more risk now,Growth,No,High,High,Low,Medium,Growth,No,2,1,1,No
ILS-020,"My situation is as follows: I am 68 and I want a portfolio recommendation based on my circumstances. My main goal is long-term wealth accumulation. My salary is stable, and I have no high-interest debt and a separate emergency fund. I will not need this account for everyday expenses. I can accept some ups and downs but not extreme losses, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","My main goal is long-term wealth accumulation.; My salary is stable, and I have no high-interest debt and a separate emergency fund; I will not need this account for everyday expenses; I can accept some ups and downs but not extreme losses",Growth,No,Moderate,High,Low,Low,Growth,No,3,0,1,No
ILS-021,"I am 55 and would like investment advice that reflects my goals and constraints. I have two goals at the same time: medical costs soon and long-term wealth growth later. This money may be needed for rent and family expenses very soon. I can save monthly, although I still have normal household commitments. I am willing to accept higher risk for higher expected return, but I am unsure whether one portfolio can serve both the short-term and long-term goals.","Medical costs soon and long-term wealth growth later; This money may be needed for rent and family expenses very soon; I can save monthly, although I still have normal household commitments",Human review,Yes,Inconsistent,Moderate,Urgent,High,Human review,Yes,4,0,0,No
ILS-022,"As a 55-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I am investing mainly for retirement more than fifteen years away. My income is predictable, and I have a strong cash buffer and no major short-term debts. I will not need this account for everyday expenses. I want growth but with a controlled level of volatility, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","I am investing mainly for retirement more than fifteen years away.; My income is predictable, and I have a strong cash buffer and no major short-term debts; I will not need this account for everyday expenses; I want growth but with a controlled level of volatility",Growth,No,Moderate,High,Low,Low,Growth,No,3,0,1,No
ILS-023,"I am 51 and I am describing my investment situation for an automated advisory service. My main goal is retirement. I have stable income, manageable debt, and cash reserves outside this account. I might need a portion of the funds for a home improvement project in a few years. During the last market decline I sold funds at a loss because I panicked. I say I want growth, but my past behavior makes me uncertain.","During the last market decline I sold funds at a loss because I panicked; I say I want growth, but my past behavior makes me uncertain.",Balanced,No,Inconsistent,High,Moderate,Medium,Conservative,No,0,4,0,No
ILS-024,"I am 55 and would like investment advice that reflects my goals and constraints. My main goal is saving for education expenses. I have stable income, manageable debt, and cash reserves outside this account. I want some flexibility in case a family expense appears within the next four years. During the last market decline I sold funds at a loss because I panicked. I say I want growth, but my past behavior makes me uncertain.","During the last market decline I sold funds at a loss because I panicked; I say I want growth, but my past behavior makes me uncertain.",Balanced,No,Inconsistent,High,Moderate,Medium,Conservative,No,0,4,0,No
